directorid,name,rate,gross,num,fname,lname
23305,"Bernstein, Adam (I)",6.0,51617.0,1,Adam,Bernstein
23392,"Berri, Claude",29.4,9718892.0,4,Claude,Berri
23669,"Bertolucci, Bernardo",41.2,13665862.0,6,Bernardo,Bertolucci
23861,"Besson, Luc",37.3,355246274.0,5,Luc,Besson
24036,"Betuel, Jonathan R.",5.6,4122748.0,1,Jonathan,Betuel
24905,"Bierman, Robert",6.2,301360.0,1,Robert,Bierman
24941,"Bigelow, Kathryn",14.1,11288307.0,2,Kathryn,Bigelow
25119,"Bill, Tony (I)",6.8,1626851.0,1,Tony,Bill
25259,"Bindler, S.R.",7.6,492876.0,1,SR,Bindler
25386,"Birch, Patricia",3.8,11045234.0,1,Patricia,Birch
25398,"Bird, Antonia",18.8,21691159.0,3,Antonia,Bird
25401,"Bird, Brad (I)",7.9,80000000.0,1,Brad,Bird
25470,"Birkin, Andrew",7.0,322975.0,1,Andrew,Birkin
25639,"Bishop, Larry",5.1,80026.0,1,Larry,Bishop
25936,"Blaché, Herbert",6.2,0.0,1,Herbert,Blach
26033,"Black, Noel",4.9,14049540.0,1,Noel,Black
26244,"Blair, Jon (I)",7.6,1310200.0,1,Jon,Blair
26367,"Blake, Tessa (I)",7.5,4450.0,1,Tessa,Blake
26381,"Blakemore, Michael",6.6,350354.0,1,Michael,Blakemore
26385,"Blakeney, Eric",5.4,1631839.0,1,Eric,Blakeney
26428,"Blanc, Michel (I)",6.4,551359.0,1,Michel,Blanc
26617,"Blanks, Jamie",5.3,72527595.0,1,Jamie,Blanks
26695,"Blatty, William Peter",6.0,39024251.0,1,William,Blatty
26706,"Blaustein, Barry W.",7.3,2047570.0,1,Barry,Blaustein
26832,"Blier, Bertrand",6.9,925952.0,1,Bertrand,Blier
26926,"Block, Doug (I)",6.3,0.0,1,Doug,Block
27050,"Bloom, Jason",10.0,13427615.0,2,Jason,Bloom
27051,"Bloom, Jeffrey (I)",4.1,0.0,1,Jeffrey,Bloom
27271,"Bluth, Don",39.8,256049685.0,6,Don,Bluth
27289,"Blyth, Jeff",5.7,8153677.0,1,Jeff,Blyth
27485,"Bochner, Hart",5.2,20951277.0,1,Hart,Bochner
27603,"Bodrov, Sergey",7.5,661361.0,1,Sergey,Bodrov
27802,"Bogdanovich, Peter",8.0,0.0,1,Peter,Bogdanovich
28247,"Bologna, Joseph",4.9,32925.0,1,Joseph,Bologna
28258,"Bolotin, Craig",5.5,5871603.0,1,Craig,Bolotin
28550,"Bonerz, Peter",3.6,10612345.0,1,Peter,Bonerz
28822,"Bont, Jan de",21.6,1186738886.0,4,Jan,Bont
28851,"Bonzel, André",7.5,205569.0,1,Andr,Bonzel
28945,"Boorman, John",46.5,97757476.0,7,John,Boorman
29353,"Bornedal, Ole",6.1,1154237.0,1,Ole,Bornedal
29445,"Borris, Clay",3.9,0.0,1,Clay,Borris
29481,"Borsos, Phillip",12.3,24872460.0,2,Phillip,Borsos
29496,"Borthwick, Dave",7.1,69870.0,1,Dave,Borthwick
29531,"Borzage, Frank",6.6,0.0,1,Frank,Borzage
30006,"Boughedir, Férid",6.9,0.0,1,Frid,Boughedir
30343,"Boutross, Tom",3.3,0.0,1,Tom,Boutross
30533,"Bowers, George (I)",4.9,22587000.0,1,George,Bowers
30642,"Bowman, Rob (I)",6.8,189198313.0,1,Rob,Bowman
30888,"Boyko, Leonid",6.7,145443.0,1,Leonid,Boyko
30905,"Boyle, Danny",21.8,45968028.0,3,Danny,Boyle
30972,"Boyum, Steve",3.4,4308981.0,1,Steve,Boyum
31140,"Braddock, Reb",5.5,0.0,1,Reb,Braddock
31334,"Brady, William A.",7.0,0.0,1,William,Brady
31460,"Brambilla, Marco (I)",11.4,115327206.0,2,Marco,Brambilla
31499,"Branagh, Kenneth",55.6,191839004.0,8,Kenneth,Branagh
31542,"Brand, Joshua (I)",5.1,468240.0,1,Joshua,Brand
31746,"Brannon, Ash",7.9,485015179.0,1,Ash,Brannon
32106,"Breashears, David",7.1,127990128.0,1,David,Breashears
32111,"Breathnach, Paddy",6.8,405297.0,1,Paddy,Breathnach
32239,"Breillat, Catherine",5.3,1282941.0,1,Catherine,Breillat
32240,"Breiman, Valerie",6.0,546287.0,1,Valerie,Breiman
32371,"Brennan, Martin (III)",7.9,0.0,1,Martin,Brennan
32490,"Brest, Martin",22.3,146915548.0,3,Martin,Brest
32715,"Brickman, Paul (I)",13.2,69612502.0,2,Paul,Brickman
32758,"Bridges, James (I)",12.3,979547.0,2,James,Bridges
32878,"Bright, Matthew (I)",6.7,295493.0,1,Matthew,Bright
33163,"Brizzi, Gaëtan",7.1,90874570.0,1,Gatan,Brizzi
33164,"Brizzi, Paul",7.1,90874570.0,1,Paul,Brizzi
33247,"Brock, Deborah",3.4,0.0,1,Deborah,Brock
33317,"Broderick, Matthew (I)",6.0,145697.0,1,Matthew,Broderick
33332,"Brodie, Kevin",5.9,2148212.0,1,Kevin,Brodie
33534,"Brook, Peter (I)",7.1,0.0,1,Peter,Brook
33595,"Brooks, Albert (I)",12.6,27985364.0,2,Albert,Brooks
33652,"Brooks, James L.",27.6,480873538.0,4,James,Brooks
33684,"Brooks, Mel (I)",55.4,313906680.0,8,Mel,Brooks
33698,"Brooks, Richard (I)",14.1,17570324.0,2,Richard,Brooks
33750,"Broomfield, Nick",6.2,441808.0,1,Nick,Broomfield
33780,"Bross, Eric",5.9,9003.0,1,Eric,Bross
33849,"Brougher, Hilary",5.9,18195.0,1,Hilary,Brougher
33903,"Brower, Otto",6.9,0.0,1,Otto,Brower
34004,"Brown, Bruce (I)",22.1,2071091.0,3,Bruce,Brown
34185,"Brown, J. Randolph",0.0,0.0,1,J,Brown
34572,"Browne, Chris (I)",5.6,40717.0,1,Chris,Browne
34623,"Browning, Tod",7.6,0.0,1,Tod,Browning
34642,"Brownrigg, S.F.",4.8,0.0,1,SF,Brownrigg
34695,"Bruce, James (I)",4.4,0.0,1,James,Bruce
35022,"Bruno, John (I)",4.7,14010690.0,1,John,Bruno
35075,"Brusati, Franco",7.2,0.0,1,Franco,Brusati
35541,"Buck, Chris (II)",7.0,448191819.0,1,Chris,Buck
35655,"Bucquoy, Jan",5.6,0.0,1,Jan,Bucquoy
35749,"Buechler, John Carl",4.9,19069488.0,1,John,Buechler
35892,"Bui, Tony (I)",7.0,2019237.0,1,Tony,Bui
35982,"Bulbulian, Maurice",0.0,0.0,1,Maurice,Bulbulian
36373,"Burger, Hans (I)",0.0,0.0,1,Hans,Burger
36534,"Burke, Erik (I)",7.5,0.0,1,Erik,Burke
36634,"Burkin, Stuart",4.3,0.0,1,Stuart,Burkin
36738,"Burnett, Charles (I)",6.3,3313633.0,1,Charles,Burnett
36822,"Burns, Edward (I)",18.1,19839092.0,3,Edward,Burns
36926,"Burr, Jeff (I)",4.8,5765562.0,1,Jeff,Burr
37039,"Burstein, Nanette",7.0,47074.0,1,Nanette,Burstein
37083,"Burton, Geoff",7.0,766464.0,1,Geoff,Burton
37121,"Burton, Tim (I)",58.6,1207770233.0,8,Tim,Burton
37181,"Buscemi, Steve",7.1,673269.0,1,Steve,Buscemi
37587,"Butler, Robert (I)",21.6,11466088.0,4,Robert,Butler
37612,"Butoy, Hendel",13.8,118806031.0,2,Hendel,Butoy
37677,"Buttgereit, Jörg",5.1,0.0,1,g,Buttgereit
37738,"Buzby, Zane",3.9,0.0,1,Zane,Buzby
37760,"Buñuel, Luis",14.8,4037017.0,2,Luis,Buuel
37794,"Byer, Troy",3.5,417827.0,1,Troy,Byer
37951,"Byrum, John",6.3,6551987.0,1,John,Byrum
38319,"Cabanne, Christy",6.0,0.0,1,Christy,Cabanne
38555,"Cadiff, Andy",4.7,10713605.0,1,Andy,Cadiff
38755,"Caiano, Mario",5.2,0.0,1,Mario,Caiano
38775,"Caillier, Barry",5.4,0.0,1,Barry,Caillier
38785,"Cain, Christopher (I)",20.4,87797319.0,4,Christopher,Cain
39601,"Camerini, Mario",6.6,0.0,1,Mario,Camerini
39629,"Cameron, James (I)",47.6,3295280440.0,6,James,Cameron
39702,"Caminito, Augusto",5.2,0.0,1,Augusto,Caminito
39750,"Camp, Joe (I)",17.2,79542224.0,3,Joe,Camp
39776,"Campanella, Juan José",5.4,0.0,1,Juan,Campanella
39944,"Campbell, Martin (I)",19.8,562605106.0,3,Martin,Campbell
40066,"Campion, Anna",4.5,0.0,1,Anna,Campion
40070,"Campion, Jane",19.4,45609616.0,3,Jane,Campion
40434,"Cannon, Danny (I)",15.8,197538664.0,3,Danny,Cannon
40775,"Caplan, Cathy",7.7,269823.0,1,Cathy,Caplan
40901,"Capra, Frank",56.5,1057444.0,7,Frank,Capra
41028,"Carax, Leos",7.4,117569.0,1,Leos,Carax
41236,"Cardone, J.S.",5.9,7394.0,1,JS,Cardone
41457,"Carlei, Carlo",6.3,3987649.0,1,Carlo,Carlei
41508,"Carlino, Lewis John",12.8,26370364.0,2,Lewis,Carlino
41759,"Carnahan, Joe",5.4,13674.0,1,Joe,Carnahan
41837,"Carné, Marcel",8.1,8200000.0,1,Marcel,Carn
41852,"Caro, Marc",15.3,3307215.0,2,Marc,Caro
41886,"Caron, Glenn Gordon",10.8,52208854.0,2,Glenn,Caron
41939,"Carpenter, John (I)",82.0,268171319.0,12,John,Carpenter
41969,"Carpenter, Stephen (I)",5.2,2407024.0,1,Stephen,Carpenter
42095,"Carr, Steve (III)",5.6,57176582.0,1,Steve,Carr
42098,"Carr, Thomas (I)",0.0,0.0,1,Thomas,Carr
42436,"Carroll, Willard (I)",7.0,3956212.0,1,Willard,Carroll
42495,"Carson, David (I)",6.5,120000000.0,1,David,Carson
42738,"Carter, Thomas (II)",11.7,37619649.0,2,Thomas,Carter
43319,"Cassavetes, John (I)",7.1,0.0,1,John,Cassavetes
43320,"Cassavetes, Nick",12.4,7456679.0,2,Nick,Cassavetes
43514,"Castellaneta, P.J. (I)",6.7,452654.0,1,PJ,Castellaneta
43724,"Castle, Nick (I)",15.5,48939511.0,3,Nick,Castle
43728,"Castle, William",19.6,0.0,3,William,Castle
43862,"Castro, Rick",6.0,127251.0,1,Rick,Castro
44035,"Caton-Jones, Michael",13.0,170510560.0,2,Michael,Caton Jones
44051,"Cattaneo, Peter",7.1,243957453.0,1,Peter,Cattaneo
44257,"Cavani, Liliana",6.6,233471.0,1,Liliana,Cavani
45075,"Chabrol, Claude",21.4,864882.0,3,Claude,Chabrol
45120,"Chadha, Gurinder",6.4,735192.0,1,Gurinder,Chadha
45158,"Chaffey, Don",6.1,4100000.0,1,Don,Chaffey
45542,"Champion, Gregg (I)",5.4,20277185.0,1,Gregg,Champion
45642,"Chan, Jackie (I)",13.8,15051055.0,2,Jackie,Chan
45680,"Chan, Peter (I)",5.2,8276228.0,1,Peter,Chan
45741,"Chance, Tony (I)",7.4,0.0,1,Tony,Chance
45868,"Chaney, Lon",7.7,0.0,1,Lon,Chaney
46148,"Chaplin, Charles",80.0,4880467.0,10,Charles,Chaplin
46170,"Chapman, Brenda (I)",6.8,218613188.0,1,Brenda,Chapman
46229,"Chapman, Michael (I)",5.0,1951794.0,1,Michael,Chapman
46277,"Chappelle, Joe",9.8,20763732.0,2,Joe,Chappelle
46424,"Charlot, André",5.6,0.0,1,Andr,Charlot
46648,"Chatiliez, Étienne",6.8,414736.0,1,tienne,Chatiliez
46944,"Chechik, Jeremiah S.",28.7,206345566.0,5,Jeremiah,Chechik
47042,"Chelsom, Peter",20.5,7489130.0,3,Peter,Chelsom
47160,"Chen, Joan (I)",12.4,91091820.0,2,Joan,Chen
47164,"Chen, Kaige",21.8,7629855.0,3,Kaige,Chen
47495,"Cherot, Christopher Scott",5.7,2301777.0,1,Christopher,Cherot
48211,"Chionglo, Mel",5.9,0.0,1,Mel,Chionglo
48629,"Cholodenko, Lisa",6.5,1929168.0,1,Lisa,Cholodenko
48676,"Chong, Tommy",6.8,41590893.0,1,Tommy,Chong
48974,"Christensen, Carlos Hugo",0.0,0.0,1,Carlos,Christensen
49086,"Christian, Roger (I)",2.4,29725663.0,1,Roger,Christian
49233,"Christopher, Mark (I)",12.3,16761406.0,2,Mark,Christopher
49615,"Chéreau, Patrice",13.8,2080997.0,2,Patrice,Chreau
49710,"Ciccoritti, Jerry",4.8,0.0,1,Jerry,Ciccoritti
49834,"Cimino, Michael (I)",21.2,75023107.0,3,Michael,Cimino
50126,"Clair, René",7.6,0.0,1,Ren,Clair
50232,"Clark, Bob (III)",26.6,192287931.0,5,Bob,Clark
50366,"Clark, Larry (I)",13.2,21025234.0,2,Larry,Clark
50572,"Clarke, Robert (I)",3.3,0.0,1,Robert,Clarke
50691,"Clavell, James",7.5,42432803.0,1,James,Clavell
50791,"Clayton, Jack (I)",22.1,5656087.0,3,Jack,Clayton
50838,"Cleese, John",7.6,63493712.0,1,John,Cleese
50873,"Clemens, William (I)",6.0,0.0,1,William,Clemens
50946,"Clements, Ron",29.5,905247314.0,4,Ron,Clements
51033,"Clifford, Graeme",7.2,108488.0,1,Graeme,Clifford
51075,"Cline, Edward F.",14.4,28247.0,2,Edward,Cline
51115,"Clokey, Art",5.8,57100.0,1,Art,Clokey
51240,"Clément, René",7.7,618090.0,1,Ren,Clment
51400,"Cochran, Stacy",4.5,516350.0,1,Stacy,Cochran
51556,"Coen, Ethan",46.7,127172109.0,6,Ethan,Coen
51557,"Coen, Joel",46.7,127172109.0,6,Joel,Coen
51757,"Cohen, Eli (I)",6.6,0.0,1,Eli,Cohen
51827,"Cohen, Larry (I)",5.5,3014000.0,1,Larry,Cohen
51892,"Cohen, Peter M.",4.2,4142507.0,1,Peter,Cohen
51903,"Cohen, Rob (I)",17.2,298536999.0,3,Rob,Cohen
51961,"Cohn, Alan",5.7,15062898.0,1,Alan,Cohn
51993,"Cohn, Peter",6.0,0.0,1,Peter,Cohn
52233,"Cole, Nigel",6.8,12115757.0,1,Nigel,Cole
52329,"Coleman, Lionel",7.1,1205606.0,1,Lionel,Coleman
52463,"Collard, Cyril",6.8,662341.0,1,Cyril,Collard
52776,"Collinson, Peter",5.9,283566.0,1,Peter,Collinson
52778,"Collis, Adam",5.4,3926.0,1,Adam,Collis
52953,"Columbus, Chris",44.9,1742281179.0,7,Chris,Columbus
53258,"Condon, Bill",12.4,20330415.0,2,Bill,Condon
53330,"Coninx, Stijn",7.5,0.0,1,Stijn,Coninx
53403,"Connell, Myles",5.7,581142.0,1,Myles,Connell
53429,"Connelly, Theresa",5.2,563143.0,1,Theresa,Connelly
53599,"Conrad, Mikel",4.5,0.0,1,Mikel,Conrad
53860,"Conway, Jack (I)",7.5,0.0,1,Jack,Conway
53910,"Cook, Barry (I)",7.3,236918403.0,1,Barry,Cook
54134,"Coolidge, Martha",18.3,47951683.0,3,Martha,Coolidge
54305,"Cooper, Merian C.",8.0,1700000.0,1,Merian,Cooper
54501,"Coppola, Francis Ford",75.6,1045159226.0,10,Francis,Coppola
54512,"Coppola, Sofia",7.2,10409377.0,1,Sofia,Coppola
54543,"Coraci, Frank",18.4,385673134.0,3,Frank,Coraci
54595,"Corbiau, Gérard",6.7,2122948.0,1,Grard,Corbiau
54859,"Cormack, Robert",6.6,0.0,1,Robert,Cormack
54863,"Corman, Roger",45.2,2000000.0,7,Roger,Corman
54934,"Cornell, John (I)",5.3,239700000.0,1,John,Cornell
55048,"Corr, Eugene",6.5,161946.0,1,Eugene,Corr
55156,"Corrente, Michael",17.9,8351202.0,3,Michael,Corrente
55402,"Coscarelli, Don",24.3,17659472.0,4,Don,Coscarelli
55449,"Cosmatos, George P.",18.6,359060037.0,3,George,Cosmatos
55590,Costa-Gavras,12.2,36372335.0,2,Costa Gavras,
55703,"Costner, Kevin",19.7,706011611.0,3,Kevin,Costner
55750,"Coto, Manny",5.1,7015240.0,1,Manny,Coto
55828,"Cottrell, William (I)",7.8,41634000.0,1,William,Cottrell
56116,"Couturié, Bill",2.4,6288000.0,1,Bill,Couturi
56159,"Covert, Michael (III)",5.1,1910.0,1,Michael,Covert
56307,"Cox, Alex (I)",13.8,6576603.0,2,Alex,Cox
56497,"Cozzi, Luigi",5.2,0.0,1,Luigi,Cozzi
56545,"Craft, Michael (I)",8.1,0.0,1,Michael,Craft
56774,"Craven, Wes",53.7,555732684.0,9,Wes,Craven
57086,"Crichton, Charles",14.2,63493712.0,2,Charles,Crichton
57090,"Crichton, Michael",26.0,68656248.0,4,Michael,Crichton
57135,"Crisp, Donald (I)",6.3,0.0,1,Donald,Crisp
