movieid,writerid,addition,additions
1687544,327607,"(story and screenplay)  <1,1,1>",story and screenplay
1687685,104613,"(written by)  <1,1,2>",written by
1687685,364357,"(written by)  <1,1,1>",written by
1687730,58450,"(screenplay)  <2,1,1>",screenplay
1687730,154875,"(screenplay)  <2,2,1>",screenplay
1687730,308614,"(screenplay)  <2,3,1>",screenplay
1687730,375470,"(books ""A Story Like the Wind"" and ""A Far Off Place"") (as Laurens van der Post)  <1,1,1>",and
1687738,125633,"(screenplay)  <1,2,1>",screenplay
1687738,131519,"(screenplay)  <1,1,1>",screenplay
1687738,154036,"(novel)  <2,1,1>",novel
1687738,347666,(play) (uncredited),play
1687905,344953,"(play)  <1,1,1>",play
1687905,344953,"(screenplay)  <2,1,1>",screenplay
1688103,67305,"(story)  <1,1,1>",story
1688103,67305,"(written by)  <2,1,1>",written by
1688103,75761,"(story)  <1,2,1>",story
1688565,28691,(screenplay),screenplay
1688565,300687,(idea by),idea by
1689117,40660,"(novel)  <1,1,1>",novel
1689117,40660,"(screenplay)  <2,1,1>",screenplay
1689183,13154,"(additional written material)  <4,1,1>",additional written material
1689183,94441,"(additional written material)  <4,1,2>",additional written material
1689183,224317,"(screenplay) (as Jymm Magon)  <2,1,1>",screenplay
1689183,224317,"(story) (as Jymm Magon)  <1,1,1>",story
1689183,233625,"(screenplay)  <2,2,2>",screenplay
1689183,287472,"(screenplay)  <2,2,3>",screenplay
1689183,287472,"(story supervisor)  <3,1,1>",story supervisor
1689210,278282,"(written by)  <1,1,1>",written by
1689263,17544,,
1689263,281844,,
1689263,330344,,
1689475,274487,"(original screenplay)  <1,1,1>",original screenplay
1690318,211809,"(written by)  <1,1,2>",written by
1690318,279169,"(written by)  <1,1,1>",written by
1690377,61272,"(written by)  <1,1,1>",written by
1690616,53644,"(story)  <1,1,2>",story
1690616,124055,"(screenplay)  <2,1,1>",screenplay
1690616,226600,"(screenplay)  <2,1,2>",screenplay
1690616,395139,"(story)  <1,1,1>",story
1690710,244220,(writer),writer
1690773,159181,"(written by)  <1,1,1>",written by
1690958,97893,(written by),written by
1691077,49008,"(novel)  <1,1,1>",novel
1691077,60857,"(screenplay)  <2,2,1>",screenplay
1691077,201333,"(screenplay)  <2,1,1>",screenplay
1691387,387845,"(written by)  <1,1,1>",written by
1691642,37307,"(from the play by)  <1,1,1>",from the play by
1691642,37307,"(screenplay)  <2,1,1>",screenplay
1691685,89959,(screenplay),screenplay
1691793,146617,"(novel)  <1,1,1>",novel
1691793,152881,"(screenplay)  <2,1,1>",screenplay
1691793,288794,"(screenplay)  <2,2,1>",screenplay
1692173,159596,"(screenplay)  <2,1,1>",screenplay
1692173,332709,"(play)  <1,1,1>",play
1692404,269421,(story),story
1692404,405648,(screenplay),screenplay
1692404,405648,(story),story
1692580,24221,(story),story
1692580,28978,,
1692580,216012,(translation and adaptation),translation and adaptation
1693225,111696,"(written by)  <1,2,1>",written by
1693225,183249,"(written by)  <1,2,2>",written by
1693225,194612,"(written by)  <1,1,1>",written by
1693305,8144,"(screenplay)  <2,1,1>",screenplay
1693305,217788,"(from the book by)  <1,1,1>",from the book by
1693341,75331,"(written by)  <1,1,1>",written by
1693345,75331,"(characters)  <3,1,1>",characters
1693345,75331,"(screenplay)  <2,1,1>",screenplay
1693345,75331,"(story)  <1,1,1>",story
1693345,81111,"(screenplay)  <2,3,1>",screenplay
1693345,316192,"(screenplay)  <2,4,1>",screenplay
1693345,383904,"(screenplay)  <2,2,1>",screenplay
1693345,383904,"(story)  <1,2,1>",story
1693346,75331,"(character)  <1,1,1>",character
1693346,153682,"(screenplay)  <3,1,1>",screenplay
1693346,153682,"(story)  <2,2,1>",story
1693346,195451,"(story)  <2,1,1>",story
1693346,391159,"(screenplay) (as Scott Pierce)  <3,2,1>",screenplay
1693346,391160,"(screenplay) (as Scott Pierce)  <3,2,2>",screenplay
1693347,61896,"(written by)  <1,1,1>",written by
1693347,75331,(characters),characters
1693348,36792,"(screenplay)  <3,1,1>",screenplay
1693348,36792,"(story)  <2,2,1>",story
1693348,75331,"(characters)  <1,1,1>",characters
1693348,340167,"(story)  <2,1,1>",story
1693348,345993,"(story)  <2,1,2>",story
1693861,185530,"(screenplay)  <2,1,1>",screenplay
1693861,192445,"(play ""Dial M for Murder"")  <1,1,1>",play
1693880,147238,"(written by)  <1,1,1>",written by
1694141,45418,"(screenplay)  <3,2,1>",screenplay
1694141,96093,"(based on the novel by)  <1,1,1>",based on the novel by
1694141,184383,"(play adapted from the novel by)  <2,1,1>",play adapted from the novel by
1694141,395198,"(screenplay)  <3,1,1>",screenplay
1694448,399880,"(written by)  <1,1,1>",written by
1694647,386386,"(written by)  <1,1,1>",written by
1694901,147715,"(play)  <1,1,1>",play
1694901,147715,"(screenplay)  <2,1,1>",screenplay
1695219,119972,"(screenplay)  <2,1,1>",screenplay
1695219,223180,"(story)  <1,1,1>",story
1695355,116710,"(novel)  <1,1,1>",novel
1695355,292476,"(screenplay)  <2,1,1>",screenplay
1696148,342566,"(novel)  <1,1,1>",novel
1696148,342566,"(screenplay)  <2,1,1>",screenplay
1696165,102670,"(novel ""Silas Marner"")  <1,1,1>",novel
1696165,231261,"(written by)  <2,1,1>",written by
1696168,313644,"(written by)  <1,1,1>",written by
1696396,243782,"(written by)  <1,1,1>",written by
1696396,320582,"(written by)  <1,2,1>",written by
1696473,169852,"(screenplay)  <2,1,1>",screenplay
1696473,176900,"(novel)  <1,1,1>",novel
1696473,292476,"(screenplay)  <2,1,2>",screenplay
1696496,121371,"(play ""A Soldier's Play"")  <2,1,1>",play
1696496,121371,"(screenplay)  <1,1,1>",screenplay
1696789,53025,"(screenplay)  <2,1,2>",screenplay
1696789,56641,"(screenplay)  <2,1,3>",screenplay
1696789,56641,"(story)  <1,2,1>",story
1696789,152742,"(contributing writer) (uncredited)  <3,1,1>",contributing writer
1696789,204006,"(contributing writer) (uncredited)  <3,2,1>",contributing writer
1696789,224591,"(contributing writer) (uncredited)  <3,3,1>",contributing writer
1696789,278460,"(screenplay)  <2,1,1>",screenplay
1696789,327607,"(contributing writer) (uncredited)  <3,4,1>",contributing writer
1696789,330816,"(contributing writer) (uncredited)  <3,5,1>",contributing writer
1696789,347284,(uncredited),uncredited
1696789,389753,"(story)  <1,1,1>",story
1697037,323570,"(adaptation)  <2,1,1>",adaptation
1697037,394375,"(original play ""A Streetcar Named Desire"")  <3,1,1>",original play
1697037,394375,"(screen play)  <1,1,1>",screen play
1697674,23842,"(screenplay)  <2,3,1>",screenplay
1697674,47789,"(screenplay)  <2,2,2>",screenplay
1697674,106539,"(screenplay)  <2,2,1>",screenplay
1697674,205864,"(screenplay)  <2,1,1>",screenplay
1697674,205864,"(story)  <1,1,1>",story
1697690,176943,"(screenplay)  <2,1,1>",screenplay
1697690,341275,"(novel)  <1,1,1>",novel
1697774,198159,,
1697774,328486,,
1697856,133152,"(screenplay)  <2,1,1>",screenplay
1697856,140040,"(novel ""A Time To Kill"")  <1,1,1>",novel
1698492,29427,"(screenplay)  <3,2,1>",screenplay
1698492,102515,"(screenplay)  <3,1,1>",screenplay
1698492,102515,"(story)  <2,1,1>",story
1698492,181581,"(screenplay)  <3,1,2>",screenplay
1698492,181581,"(story)  <2,1,2>",story
1698492,328255,"(characters)  <1,1,1>",characters
1698492,405655,"(screenplay)  <3,2,2>",screenplay
1698547,68354,(screenplay),screenplay
1698547,68354,(story),story
1698547,204100,(screenplay),screenplay
1698547,204100,(story),story
1698667,114653,"(story ""From A View to a Kill"") (uncredited)  <1,1,1>",story
1698667,224780,"(screenplay)  <2,1,1>",screenplay
1698667,395204,"(screenplay)  <2,2,1>",screenplay
1698944,83656,"(story and screenplay material: ""Quattro passi fra le nuvole"")  <2,3,1>",story and screenplay material
1698944,180646,"(screenplay)  <1,1,1>",screenplay
1698944,246082,"(screenplay)  <1,2,1>",screenplay
1698944,361385,"(story and screenplay material: ""Quattro passi fra le nuvole"")  <2,1,1>",story and screenplay material
1698944,389529,"(screenplay)  <1,2,2>",screenplay
1698944,404212,"(story and screenplay material: ""Quattro passi fra le nuvole"")  <2,2,1>",story and screenplay material
1698960,45418,"(by)  <1,1,1>",
1698960,313222,"(screenplay)  <2,1,1>",screenplay
1698972,137736,"(written by)  <1,1,1>",written by
1699546,61272,"(written by)  <1,1,1>",written by
1699876,138404,"(written by)  <1,1,1>",written by
1703410,349565,,
1703469,86388,"(screenplay)  <2,2,1>",screenplay
1703469,184298,"(screenplay)  <2,1,1>",screenplay
1703469,226314,"(play ""Sexual Perversity in Chicago"")  <1,1,1>",play
1703588,71994,"(screenplay)  <2,1,1>",screenplay
1703588,240539,"(story)  <1,1,2>",story
1703588,289799,"(screenplay)  <2,1,2>",screenplay
1703588,289799,"(story)  <1,1,1>",story
1703679,8282,,
1703679,129699,,
1703907,19435,"(book)  <1,1,1>",book
1703907,133111,"(screenplay)  <2,1,1>",screenplay
1704569,30619,"(screenplay)  <2,1,1>",screenplay
1704569,30619,"(story)  <1,1,1>",story
1704569,56266,"(screenplay)  <2,2,2>",screenplay
1704569,332423,"(screenplay)  <2,2,1>",screenplay
1704571,30619,"(characters)  <1,1,1>",characters
1704571,269944,"(written by)  <2,1,1>",written by
1704577,89469,"(story) (uncredited)  <2,1,1>",story
1704577,263323,"(written by)  <1,1,3>",written by
1704577,320699,"(written by)  <1,1,2>",written by
1704577,393003,"(written by)  <1,1,1>",written by
1704645,102407,"(characters)  <1,1,1>",characters
1704645,102407,"(written by)  <2,1,1>",written by
1704645,121656,"(characters)  <1,1,2>",characters
1705196,127366,"(written by)  <1,1,1>",written by
1705417,303004,"(written by)  <1,1,1>",written by
1706079,2063,"(characters)  <1,1,1>",characters
1706079,315213,"(written by)  <2,1,1>",written by
1706140,135184,"(written by)  <1,1,1>",written by
1706887,295092,"(written by)  <1,1,1>",written by
1707277,338032,"(written by)  <1,1,1>",written by
1707941,20591,"(novel)  <1,1,1>",novel
1707941,327204,"(screenplay)  <2,1,1>",screenplay
1708591,9449,,
1708982,315243,"(written by)  <1,1,1>",written by
1709238,164359,,
1709238,224958,(1947 screenplay), screenplay
1709892,133173,"(screenplay)  <2,1,1>",screenplay
1709892,268227,"(novel ""The Mammy"")  <1,1,1>",novel
1709892,268227,"(screenplay)  <2,2,1>",screenplay
1709901,286834,"(screenplay)  <1,1,1>",screenplay
1709901,286834,"(stage play)  <2,1,1>",stage play
1710609,259789,(story),story
1710609,407159,(writer),writer
1710622,407159,,
1710673,369959,,
1710673,369972,,
1710673,400482,,
1710994,121948,(writer),writer
1710994,256416,(writer),writer
1711133,105649,"(screenplay)  <2,1,1>",screenplay
1711133,307535,"(book)  <1,1,1>",book
1711133,316062,"(screenplay)  <2,2,1>",screenplay
1711143,91055,"(character ""Air Bud"")  <1,1,1>",character
1711143,241947,"(written by)  <2,1,2>",written by
1711143,358669,"(written by)  <2,1,1>",written by
1711145,91055,"(character ""Air Bud"")  <1,1,1>",character
1711145,241947,"(characters)  <2,1,2>",characters
1711145,241947,"(written by)  <3,1,2>",written by
1711145,358669,"(characters)  <2,1,1>",characters
1711145,358669,"(written by)  <3,1,1>",written by
1711175,229729,"(written by)  <1,1,1>",written by
1711356,393248,"(written by)  <1,1,1>",written by
1711383,113125,"(written by)  <1,1,1>",written by
1711384,904,"(written for the screen by)  <1,1,1>",written for the screen by
1711384,23332,"(screenplay ""Zero Hour"") (uncredited)  <3,1,2>",screenplay
1711384,60567,"(screenplay ""Zero Hour"") (uncredited)  <3,1,3>",screenplay
1711384,145062,"(screenplay ""Zero Hour"") (uncredited)  <3,1,1>",screenplay
1711384,145062,"(teleplay ""Flight Into Danger"") (uncredited)  <2,1,1>",teleplay
1711384,406349,"(written for the screen by)  <1,1,2>",written for the screen by
1711384,406353,"(written for the screen by)  <1,1,3>",written for the screen by
1711393,75044,"(story)  <3,1,1>",story
1711393,145062,"(novel ""Airport"")  <1,1,1>  <23>",novel
1711393,198139,"(story)  <3,2,1>",story
1711393,325189,"(screenplay)  <2,1,1>",screenplay
1711393,345994,"(screenplay)  <2,1,2>",screenplay
1711395,145062,"(from the novel by)  <1,1,1>",from the novel by
1711395,329613,"(written for the screen by)  <2,1,1>",written for the screen by
1711398,145062,"(novel)  <1,1,1>",novel
1711398,168137,"(written by)  <2,1,1>",written by
1712152,150739,"(screenplay)  <1,2,1>",screenplay
1712152,407170,"(graphic novel) (as Katsuhiro Otomo)  <2,1,1>",graphic novel
1712152,407170,"(screenplay) (as Katsuhiro Otomo)  <1,1,1>",screenplay
1713183,6707,"(story)  <3,1,2>",story
1713183,67455,"(screenplay)  <1,1,1>",screenplay
1713183,103041,"(screenplay)  <1,2,2>",screenplay
1713183,121088,"(story)  <3,1,9>",story
1713183,131577,"(story)  <3,1,6>",story
1713183,133494,"(story supervisor)  <2,1,1>",story supervisor
1713183,147983,"(story)  <3,1,10>",story
1713183,148723,"(story)  <3,1,4>",story
1713183,174670,"(story)  <3,1,3>",story
1713183,209447,"(story)  <3,1,8>",story
1713183,213722,"(story)  <3,1,11>",story
1713183,234457,"(story)  <3,1,1>",story
1713183,257643,"(screenplay)  <1,2,1>",screenplay
1713183,263969,"(story) (as Sue Nichols)  <3,1,5>",story
1713183,287472,"(story)  <3,1,15>",story
1713183,301555,"(story)  <3,1,12>",story
1713183,311670,"(story)  <3,1,7>",story
1713183,313369,"(screenplay)  <1,3,2>",screenplay
1713183,321149,"(story)  <3,1,14>",story
1713183,341732,"(story)  <3,1,13>",story
1713183,378563,"(story)  <3,1,16>",story
1713499,48480,"(written by)  <1,1,1>",written by
1713499,258153,"(written by)  <1,1,2>",written by
1713755,116773,,
1714481,51669,"(additional dialogue)  <2,1,1>",additional dialogue
1714481,200336,"(from the novel by) (as Detective Ashelbe)  <3,1,1>",from the novel by
1714481,206004,"(screenplay)  <1,1,1>",screenplay
1714991,14988,(writer),writer
1714991,360124,(writer),writer
1714991,372133,(writer),writer
1715025,20702,"(story)  <2,1,6>",story
1715025,56491,"(adaptation: of ""The Adventures of Alice in Wonderland"" and ""Through the Looking Glass"") (as Lewis Carrol)  <1,1,1>",and
1715025,70892,"(story)  <2,1,11>",story
1715025,74052,"(story) (as Bill Cottrell)  <2,1,7>",story
1715025,137193,"(story)  <2,1,9>",story
1715025,156788,"(story)  <2,1,1>",story
1715025,164137,"(story)  <2,1,10>",story
1715025,166061,(uncredited),uncredited
1715025,185661,"(story)  <2,1,8>",story
1715025,272569,"(story)  <2,1,12>",story
1715025,281909,"(story)  <2,1,3>",story
1715025,282661,"(story)  <2,1,4>",story
1715025,306297,"(story)  <2,1,5>",story
1715025,329602,"(story)  <2,1,2>",story
1715025,384343,"(story)  <2,1,13>",story
1715186,267997,"(screenplay)  <2,1,1>",screenplay
1715186,267997,"(story)  <1,1,1>",story
1715186,336391,"(story)  <1,2,1>",story
1715253,15007,,
1715288,267998,"(written by)  <1,1,1>",written by
1715380,267997,"(characters)  <1,1,1>",characters
1715380,336391,"(characters)  <1,2,1>",characters
1715380,391197,"(written by)  <2,1,1>",written by
1715404,52775,"(screenplay)  <3,1,1>",screenplay
1715404,52775,"(story)  <1,1,1>",story
1715404,129944,"(story)  <1,2,1>",story
1715404,157707,"(story)  <1,2,2>",story
1715404,267997,"(characters)  <2,1,1>",characters
1715404,336391,"(characters)  <2,2,1>",characters
1715607,300733,"(book)  <1,1,1>",book
1715607,332970,"(screenplay)  <2,1,1>",screenplay
1715793,200006,(dialogue: German version) (uncredited),dialogue
1715793,227042,"(written for the screen by)  <1,1,1>",written for the screen by
1715793,273006,"(story ""The Wisdom of Eve"") (uncredited)",story
1716019,35944,"(story)  <1,1,1>",story
1716019,76084,"(story)  <1,1,2>",story
1716019,133044,"(story)  <1,1,3>",story
1716019,209447,"(story)  <1,1,4>",story
1716019,246058,"(story)  <1,1,5>",story
1716019,278576,"(story)  <1,1,6>",story
1716019,290118,"(story)  <1,1,7>",story
1716019,336292,"(story)  <1,1,8>",story
1716019,349297,"(story) (as David Steinberg)  <1,1,9>",story
1716019,389359,"(screenplay)  <2,1,1>",screenplay
1716019,389359,"(story)  <1,1,10>",story
1716020,271649,"(screenplay)  <2,1,1>",screenplay
1716020,386352,"(screenplay)  <2,2,1>",screenplay
1716020,386352,"(story)  <1,1,2>",story
1716020,402343,"(screenplay)  <2,2,2>",screenplay
1716020,402343,"(story)  <1,1,1>",story
1716411,336597,"<1,1,1>",
1716452,363,"(screen play)  <3,1,1>",screen play
1716452,9438,"(adaptation & dialogue)  <2,1,1>",adaptation  dialogue
1716452,9988,"(adaptation)  <4,1,1>",adaptation
1716452,11006,"(titles for silent version)  <6,1,1>",titles for silent version
1716452,245386,"(uncredited)  <7,1,1>",uncredited
1716452,302778,"(by)  <1,1,1>",
1716452,354125,"(supervising story chief)  <5,1,1>",supervising story chief
1716615,16059,"(written by)  <1,1,1>",written by
1716615,116960,"(written by)  <1,2,1>",written by
1717077,313222,"(written for the screen by)  <2,1,1>",written for the screen by
1717077,386867,"(Pulitzer Prize novel ""All the King's Men"")  <1,1,1>",Pulitzer Prize novel
1717117,301084,"(screenplay)  <1,1,1>",screenplay
1717144,177925,,
1717455,144837,"(novel ""Allan Quatermain"")  <1,1,1>",novel
1717455,296251,"(screenplay)  <2,1,1>",screenplay
1717455,303980,,
1717910,283454,"(story)  <2,2,1>",story
1717910,324324,"(screenplay)  <1,1,1>",screenplay
1717910,324324,"(story)  <2,1,1>",story
1718318,76496,"(written by)  <1,1,1>",written by
1718342,145383,"(written by)  <1,1,3>",written by
1718342,267571,"(written by)  <1,1,1>",written by
1718342,396976,"(written by)  <1,1,2>",written by
1718968,132090,,
1718968,407052,"(poem ""Capitale de la douleur"") (uncredited)",poem
1719502,13436,"(uncredited)  <2,1,1>",uncredited
1719502,68347,"(written by)  <1,1,1>",written by
1719502,359515,"(uncredited)  <3,1,1>",uncredited
1719614,76066,(scenario),scenario
1719614,156947,"(play ""Always Tell Your Wife"")",play
1720040,332473,"(original screenplay)  <2,1,1>",original screenplay
1720040,332473,"(original stage play)  <1,1,1>",original stage play
1720443,150154,,
1721568,19740,"(written by)  <1,1,1>",written by
1721607,226314,"(play)  <1,1,1>",play
1721607,226314,"(screenplay)  <2,1,1>",screenplay
1721864,362111,"(written by)  <1,1,1>",written by
1721888,327204,"(written by)  <1,1,1>",written by
1721919,166080,"(written by)  <1,2,2>",written by
1721919,183319,"(written by)  <1,2,1>",written by
1721919,219239,"(written by)  <1,1,1>",written by
1721967,238808,"(written by)  <1,1,1>",written by
1722164,156233,"(written by)  <1,1,1>",written by
1722181,186697,"(written by)  <1,1,1>",written by
1722198,103076,"(novel)  <1,1,1>",novel
1722198,149847,"(screenplay)  <2,1,1>",screenplay
1722198,371325,"(screenplay)  <2,1,2>",screenplay
1722327,74506,,
1722395,169377,"(written by)  <1,1,2>",written by
1722395,229799,"(written by)  <1,1,1>",written by
1722617,28243,(adaptation) (as J. M. Benet i Jornet),adaptation
1722617,28243,"(play ""Testament"") (as Josep M. Benet i Jornet)",play
1722761,118692,"(written by)  <1,1,1>",written by
1722776,384491,(written by),written by
1722777,160999,"(book ""Murder in Amityville"")  <2,1,1>",book
1722777,317884,"(uncredited)  <3,1,1>",uncredited
1722777,385104,"(screenplay)  <1,1,1>",screenplay
1723002,25638,"(written by)  <1,1,1>",written by
1723532,120754,"(written by)  <1,1,1>",written by
1724000,75130,"(story)  <2,2,1>",story
1724000,81824,"(screenplay)  <1,1,1>",screenplay
1724000,236327,"(screenplay)  <1,3,1>",screenplay
1724000,236327,"(story)  <2,1,1>",story
1724000,350574,"(screenplay) (originally uncredited)  <1,2,1>",screenplay
1724037,106267,"(written by)  <1,1,1>",written by
1724179,119709,"(screenplay)  <1,1,1>",screenplay
1724179,119709,"(story)  <2,2,2>",story
1724179,127217,"(screenplay)  <1,1,2>",screenplay
1724179,127217,"(story)  <2,2,3>",story
1724179,190442,"(story)  <2,1,1>",story
1724180,91732,"(screenplay)  <1,1,1>",screenplay
1724180,190442,"(creator)  <3,1,1>",creator
1724180,355958,"(story)  <2,1,1>",story
1724190,202751,"(written by)  <1,1,1>",written by
1724193,49222,"(written by)  <2,1,1>",written by
1724193,202751,"(characters in An American Werewolf in London)  <1,1,1>",characters in An American Werewolf in London
1724193,350111,"(written by)  <2,1,2>",written by
1724193,385161,"(written by)  <2,2,1>",written by
1724201,210519,"(screenplay)  <2,1,1>",screenplay
1724201,210519,"(story)  <1,1,1>",story
1724413,18627,(novel),novel
1724413,397616,,
1724880,278588,"(screenplay)  <2,1,1>",screenplay
1724880,392981,"(play)  <1,1,1>",play
1725774,24539,"(written by)  <1,1,1>",written by
1725774,57508,"(written by)  <1,2,1>",written by
1725774,104627,"(written by)  <1,2,2>",written by
1726761,217053,"(screenplay)  <2,3,1>",screenplay
1726761,217053,"(story)  <1,1,1>",story
1726761,298327,"(screenplay)  <2,2,1>",screenplay
1726761,366214,"(screenplay)  <2,1,1>",screenplay
1726761,366214,"(story)  <1,2,1>",story
1726934,126501,"(screenplay)  <1,1,1>",screenplay
1726934,136611,"(screenplay)  <1,1,2>",screenplay
1726934,370557,"(animation adaptation)  <2,1,1>",animation adaptation
1726934,372100,"(screenplay)  <1,1,3>",screenplay
1726934,391784,"(screenplay)  <1,1,4>",screenplay
1727017,104167,(dramaturge),dramaturge
1727017,316688,,
1727082,235394,"(screenplay)  <1,1,1>",screenplay
1727082,381722,"(based on the novel by) (as Robert Traver)  <2,1,1>",based on the novel by
1727237,209865,"(screen play)  <1,1,1>",screen play
1727237,228380,"(suggested by a story by)  <2,1,1>",suggested by a story by
1727348,350709,"(written by)  <1,1,1>",written by
1727413,61330,"(screen foreplay & conception)  <1,1,1>",screen foreplay  conception
1727413,67305,"(screen foreplay & conception)  <1,1,2>",screen foreplay  conception
1727413,130210,"(screen foreplay & conception)  <1,1,3>",screen foreplay  conception
1727413,167138,"(screen foreplay & conception)  <1,1,4>",screen foreplay  conception
1727413,177232,"(screen foreplay & conception)  <1,1,5>",screen foreplay  conception
1727413,276094,"(screen foreplay & conception)  <1,1,6>",screen foreplay  conception
1727885,20978,"(screenplay)  <2,1,1>",screenplay
1727885,91518,"(book ""A Seal Called Andre"") (as Lew Deitz)  <1,2,1>",book
1727885,134715,"(book ""A Seal Called Andre"")  <1,1,1>",book
1728742,317123,,
1728802,158721,"(novel ""Falling Angel"")",novel
1728802,278384,(screenplay),screenplay
1728889,137182,"(written by)  <1,1,1>",written by
1728948,187974,"(screenplay)  <2,2,1>",screenplay
1728948,330058,"(original story)  <1,1,1>",original story
1728948,330058,"(screenplay)  <2,1,1>",screenplay
1729005,246216,"(written by)  <1,1,1>",written by
1729026,176943,"(screenplay)  <2,1,1>",screenplay
1729026,236970,"(book)  <1,1,1>",book
1729026,278384,"(screenplay)  <2,2,1>",screenplay
1729240,50354,"(novella ""Morpho Eugenia"")  <1,1,1>",novella
1729240,144123,"(screenplay)  <2,1,1>",screenplay
1729240,144161,"(screenplay)  <2,2,1>",screenplay
1729260,70846,"(1951 story)  <2,1,1>", story
1729260,189828,"(1951 screenplay)  <1,1,1>", screenplay
