movieid,time,addition,time1,addition1
1693880,125,(TV version),125,TV version
1694141,122,,122,
1694448,117,,117,
1694647,94,,94,
1694901,128,,128,
1695219,123,,123,
1695355,117,,117,
1696148,121,,121,
1696165,106,,106,
1696168,89,,89,
1696396,98,,98,
1696473,127,,127,
1696496,101,,101,
1696789,111,,111,
1697037,122,,122,
1697037,125,(re-release),125,re-release
1697674,108,,108,
1697690,105,,105,
1697774,90,,90,
1697856,149,,149,
1698492,90,,90,
1698547,80,,80,
1698547,86,(special edition),86,special edition
1698667,131,,131,
1698944,102,,102,
1698960,117,,117,
1698972,107,,107,
1699546,78,(1976 release),78,1976 release
1699876,115,,115,
1703410,97,,97,
1703410,105,(Sundance Film Festival),105,Sundance Film Festival
1703469,113,,113,
1703588,96,,96,
1703679,117,,117,
1703907,121,,121,
1704569,86,,86,
1704569,78,(TV version),78,TV version
1704571,90,,90,
1704577,111,,111,
1704645,98,,98,
1705196,51,,51,
1705417,96,,96,
1706079,94,,94,
1706140,100,,100,
1706887,77,,77,
1706887,94,,94,
1706887,94,(DVD version),94,DVD version
1707277,102,,102,
1707941,114,,114,
1708591,32,,32,
1708982,119,,119,
1709238,128,,128,
1709892,92,,92,
1709901,98,,98,
1710609,105,,105,
1710622,102,(final version),102,final version
1710622,109,(original version),109,original version
1710622,103,,103,
1710622,98,(DVD version),98,DVD version
1710622,107,(2000 re-release),107,2000 re-release
1710622,104,,104,
1710622,109,,109,
1710673,118,,118,
1710673,120,,120,
1710994,125,,125,
1711133,113,,113,
1711143,98,,98,
1711145,90,,90,
1711175,124,,124,
1711356,92,,92,
1711383,85,,85,
1711384,88,,88,
1711393,114,,114,
1711395,137,,137,
1711398,107,,107,
1712152,124,,124,
1713183,90,,90,
1713499,109,,109,
1713755,97,,97,
1714481,96,(copyright length),96,copyright length
1714991,124,,124,
1714991,127,,127,
1715025,75,,75,
1715186,116,(director's cut),116,director's cut
1715186,117,,117,
1715253,85,,85,
1715288,91,,91,
1715380,109,,109,
1715380,116,(2003 Special Edition),116,2003 Special Edition
1715404,137,,137,
1715404,154,(1992 special edition),154,1992 special edition
1715607,120,,120,
1715793,138,,138,
1716019,89,,89,
1716020,82,,82,
1716411,90,,90,
1716452,138,(copyright length),138,copyright length
1716452,136,,136,
1716452,128,(DVD edition),128,DVD edition
1716452,145,(cut),145,cut
1716452,147,(BBFC submission before censorship),147,BBFC submission before censorship
1716452,101,(TV version),101,TV version
1716452,133,(restored version: Library of Congress),133,restored version Library of Congress
1716615,123,,123,
1717077,110,(copyright length),110,copyright length
1717117,99,,99,
1717144,87,,87,
1717455,99,,99,
1717910,91,,91,
1717910,92,,92,
1718318,122,,122,
1718318,152,(DVD extended cut),152,DVD extended cut
1718318,162,(director's cut),162,director's cut
1718342,90,,90,
1718968,99,,99,
1719502,110,(Sony print),110,Sony print
1719502,116,,116,
1719614,20,,20,
1720040,160,,160,
1720040,180,(director's cut),180,director's cut
1720443,105,,105,
1721568,122,,122,
1721607,88,,88,
1721750,98,,98,
1721864,113,,113,
1721888,117,,117,
1721919,110,,110,
1721919,112,(re-release) (1978),112,re-release 1978
1721967,119,,119,
1722098,107,,107,
1722164,95,,95,
1722174,87,,87,
1722181,96,,96,
1722198,102,,102,
1722327,97,,97,
1722395,88,,88,
1722617,90,,90,
1722617,90,,90,
1722761,155,,155,
1722776,105,,105,
1722776,93,,93,
1722777,104,,104,
1723002,93,,93,
1723002,92,,92,
1723002,94,,94,
1723002,93,,93,
1723532,96,,96,
1723532,92,,92,
1724000,119,,119,
1724037,86,,86,
1724179,80,,80,
1724180,75,,75,
1724190,97,,97,
1724190,92,(heavily cut),92,heavily cut
1724193,105,,105,
1724201,113,,113,
1724413,112,,112,
1724880,97,,97,
1725437,83,,83,
1725774,89,,89,
1726761,103,,103,
1726761,109,,109,
1726934,94,,94,
1727017,103,,103,
1727017,96,,96,
1727082,160,,160,
1727237,143,,143,
1727237,140,(DVD version),140,DVD version
1727237, 119,,119,
1727348,100,,100,
1727413,88,,88,
1727885,95,,95,
1727885,90,,90,
1727885,94,,94,
1727885,94,,94,
1728742,105,,105,
1728802,113,,113,
1728889,100,,100,
1728889, 95,,95,
1728948,100,,100,
1728948,101,(Ontario),101,Ontario
1728948,120,(TCM Print),120,TCM Print
1729005,99,,99,
1729026,145,,145,
1729240,116,,116,
1729260,102,,102,
1729569,90,,90,
1729579,88,,88,
1729818,109,,109,
1730566,108,,108,
1730640,148,,148,
1730836,122,,122,
1730975,93,,93,
1731412,101,,101,
1731505,90,,90,
1731582,108,,108,
1732344,102,,102,
1732496,83,,83,
1732658,150,,150,
1732658,156,(director's cut),156,director's cut
1732858,114,,114,
1733111,110,,110,
1733479,153,,153,
1733479,202,(Redux version),202,Redux version
1733566,140,,140,
1733566,256,(Anniversary Edition IMAX version),256,Anniversary Edition IMAX version
1733566,280,(Universal's 100th Anniversary Blu-Ray Edition),280,Universal's 100th Anniversary Blu-Ray Edition
1734162,89,,89,
1734321,111,,111,
1734321,112,,112,
1734369,105,,105,
1734803,103,,103,
1735791,106,,106,
1736211,117,,117,
1736268,151,,151,
1736268,153,(director's cut),153,director's cut
1736362,88,,88,
1736362,83,(DVD edition),83,DVD edition
1736592,81,,81,
1736592,96,(director's cut),96,director's cut
1736592,86,(approx),86,approx
1736794,120,,120,
1737340,118,,118,
1737713,97,,97,
1737713,98,,98,
1737766,97,,97,
1738481,139,,139,
1739234,98,,98,
1740732,105,,105,
1740732,88,(DVD),88,DVD
1740752,132,,132,
1740811,91,,91,
1741487,78,,78,
1741682,128,,128,
1742509,104,,104,
1743028,83,,83,
1743028,90,(director's cut),90,director's cut
1743689,96,,96,
1743852,113,,113,
1744178,94,,94,
1744391,143,,143,
1744809,94,,94,
1744809,68,(TV version),68,TV version
1744809,89,,89,
1744811,95,,95,
1745373,15,,15,
1745406,103,,103,
1745530,91,,91,
1746382,121,,121,
1746829,145,,145,
1747382,105,,105,
1747382,75,,75,
1747494,91,,91,
1747494,92,(Encore print),92,Encore print
1747545,92,,92,
1747649,103,,103,
1747899,171,,171,
1748196,89,,89,
1748219,97,,97,
1748315,77,,77,
1748315,73,(re-release),73,re-release
1748317,106,,106,
1748754,97,,97,
1748996,95,,95,
1748996,51,(TV version),51,TV version
1749026,109,,109,
1749222,89,,89,
1749247,105,,105,
1749683,96,,96,
1749731,116,,116,
1749735,108,,108,
1749737,118,,118,
1749806,100,,100,
1749891,137,,137,
1750364,118,,118,
1750424,108,,108,
1750510,99,,99,
1750660,91,(R-rated version),91,R-rated version
1750660,96,,96,
1750728,80,,80,
1750816,91,,91,
1750816,86,(1989 video release),86,1989 video release
1750816,98,(DVD version),98,DVD version
1751059,85,,85,
1751071,94,,94,
1751872,119,,119,
1753266,78,,78,
1753348,70,,70,
1753348, 65,,65,
1753400,135,,135,
1753578,82,,82,
1753695,109,,109,
1753837,119,,119,
1753860,110,,110,
1754754,96,,96,
1754799,98,,98,
1754799,100,(unrated version),100,unrated version
1754884,98,,98,
1755112,101,,101,
1755524,106,,106,
1755813,89,,89,
1756051,76,,76,
1756391,184,,184,
1756768,127,,127,
1756768,128,(unrated version),128,unrated version
1756902,108,,108,
1756980,97,,97,
1757342,125,,125,
1757347,126,,126,
1757367,121,,121,
1757378,126,,126,
1757423,76,,76,
1757465,90,,90,
1757485,91,,91,
1757698,93,,93,
1757698,86,,86,
1757698,96,(extended version),96,extended version
1757893,118,,118,
1757893, 95,,95,
1757893,119,(video version),119,video version
1758003,77,,77,
1758003,61,,61,
1758767,101,,101,
1758767,94,(TV),94,TV
1758856,85,,85,
1758856,85,(DVD version),85,DVD version
1759189,89,,89,
1759448,112,,112,
1759573,112,,112,
1759654,107,,107,
1759685,90,,90,
1759851,84,,84,
1759851,91,(special edition),91,special edition
1759983,81,,81,
1760306,87,,87,
1760386,117,,117,
1760386,99,(re-release) (1980),99,re-release 1980
1760386,89,,89,
1760386,139,(restored version) (1996),139,restored version 1996
1760449,96,,96,
1760586,93,,93,
1760586,97,,97,
1760752,92,,92,
1760876,105,,105,
1760927,108,,108,
1760978,113,,113,
1762161,122,,122,
1762174,112,,112,
1762229,130,,130,
1762644,103,,103,
1762654,106,,106,
1762853,101,,101,
1763019,96,,96,
1763083,172,,172,
1763465,212,,212,
1763465,214,(DVD edition),214,DVD edition
1763465,222,(2005 DVD),222,2005 DVD
1763465,219,(1970),219,1970
1763465,224,(1962),224,1962
1763465,222,(1993 re-release),222,1993 re-release
1763653,95,,95,
1763877,86,,86,
1763883,88,,88,
1763910,98,,98,
1763974,105,,105,
1764861,93,,93,
1765082,92,,92,
1765108,90,,90,
1765164,90,,90,
1765347,90,,90,
1765652,127,,127,
1765652,126,,126,
1765787,95,,95,
1765789,85,,85,
1765811,97,,97,
1765827,101,,101,
1765827,102,(unrated version),102,unrated version
1766407,104,,104,
1766427,88,,88,
1766668,89,,89,
1766849,100,,100,
1766849,93,(TV version),93,TV version
1767110,102,,102,
1767110,108,(director's cut),108,director's cut
1767151,114,,114,
1767537,101,,101,
1768211,91,,91,
1768211,96,,96,
1768389,132,,132,
1768698,104,,104,
1768698,130,(extended edition),130,extended edition
1769145,90,,90,
1769408,93,,93,
1769516,73,,73,
1769766,98,,98,
1769840,107,,107,
1770285,99,,99,
1770807,99,,99,
1771528,89,,89,
1771672,92,,92,
1771673,92,,92,
1771673,89,(video),89,video
1772092,88,,88,
1772092,95,,95,
1772092,91,,91,
1772497,105,,105,
1772500,110,,110,
1772651,120,,120,
1772934,280,(director's cut),280,director's cut
1772934,179,,179,
1772934,179,,179,
1772934,179,,179,
1772934,158,,158,
1772934,158,,158,
1773358,139,,139,
1773358,119,,119,
1773436,82,,82,
1773944,88,,88,
1774349,89,,89,
1775245,87,,87,
1775382,75,,75,
1775747,106,,106,
1775854,85,,85,
1776052,120,,120,
1776052,110,(cut version),110,cut version
1776063,117,,117,
1776173,100,,100,
1776338,93,,93,
1776407,112,,112,
1776556,93,,93,
1776732,107,,107,
1776893,95,,95,
1777297,106,,106,
1777374,103,,103,
1777932,92,,92,
1778025,67,,67,
1778025,58,(edited version),58,edited version
1778258,96,(director's cut),96,director's cut
1778258,99,,99,
1778411,101,,101,
1778413,103,,103,
1778413,108,,108,
1778413,106,,106,
1778514,94,(TCM print),94,TCM print
1778514,98,,98,
1778536,87,,87,
1778697,92,,92,
1778699,90,,90,
1778699,71,(cut version),71,cut version
1779176,121,,121,
1779201,111,,111,
1779349,108,,108,
1779361,114,,114,
1779474,102,,102,
1779528,90,,90,
1779735,101,,101,
1779757,93,,93,
1779835,120,,120,
1779868,83,,83,
1779914,70,(DVD),70,DVD
1779914,72,(copyright length),72,copyright length
1780022,123,,123,
1780595,102,,102,
1780992,106,,106,
1780992,106,(Mar del Plata Film Festival),106,Mar del Plata Film Festival
1780992,103,(cut version),103,cut version
1781241,113,,113,
1781241,113,,113,
1781274,88,,88,
1781295,106,,106,
1781295,103,(R-rated version),103,R-rated version
1781295,106,(unrated version),106,unrated version
1781303,87,,87,
1781518,110,,110,
1781597,120,,120,
1781603,73,,73,
1783029,112,,112,
1783282,155,,155,
1783500,117,,117,
1783641,95,,95,
1783641,93,,93,
1783641,95,,95,
1783685,79,,79,
1783892,87,,87,
1783892,72,(cut version),72,cut version
1784129,105,,105,
1784206,97,,97,
1784206,85,,85,
1784206,95,,95,
1784275,103,,103,
1784416,88,,88,
1784877,91,,91,
1784877,95,,95,
1785170,108,,108,
1785170,109,(unrated version),109,unrated version
1785251,180,,180,
1785251,330,(original cut),330,original cut
1785251,190,(director's cut),190,director's cut
1785265,147,,147,
1785265,120,,120,
1785529,97,,97,
1785529,85,(TV version),85,TV version
1785755,107,,107,
1786099,86,,86,
1786124,118,,118,
1786136,74,,74,
1786142,91,,91,
1786183,94,,94,
1786236,115,,115,
1786413,101,,101,
1786413,88,(VHS version),88,VHS version
1786413, 83,(cut version),83,cut version
1786566,104,,104,
1786566,99,,99,
1786566,92,(cut version) (1992) (1993),92,cut version 1992 1993
1786566,80,(FSK 16 version),80,FSK 16 version
1786566,94,,94,
1786566, 85,(heavily cut),85,heavily cut
1786566,99,(DVD edition),99,DVD edition
1786566,85,(R-rated version),85,R-rated version
1786566,97,(unrated version),97,unrated version
1786921,107,,107,
1787090,177,,177,
1787149,132,,132,
1787149,142,(director's cut),142,director's cut
1787149,142,(theatrical version),142,theatrical version
1787149,94,(edited version),94,edited version
1787428,40,,40,
1787511,115,,115,
1787525,110,,110,
1787603,101,,101,
1787911,159,,159,
1787911,153,(director's cut),153,director's cut
1788154,90,,90,
1788165,100,,100,
1788314,93,,93,
1788621,89,,89,
1788624,75,,75,
1788628,96,,96,
1788636,69,,69,
1788817,86,,86,
1789015,108,,108,
1789145,98,,98,
1789259,121,,121,
1789269,102,,102,
1789269, 94,,94,
1789511,61,,61,
1789692,133,,133,
1789747,110,,110,
1789910,100,,100,
1790007,108,,108,
1790082,92,,92,
1790311,90,,90,
1790523,116,,116,
1790523,119,,119,
1790530,72,(17 fps) (Blu-ray),72,17 fps Blu-ray
1790530,75,,75,
1790530,80,,80,
1790530,68,(DVD edition),68,DVD edition
1790530,70,,70,
1790530,77,,77,
1790530,66,,66,
1790753,109,,109,
1790753,103,,103,
1790780,115,,115,
1790984,102,,102,
1791085,104,,104,
1792102,102,,102,
1792218,83,,83,
1792218,90,,90,
1792281,83,,83,
1792349,84,,84,
1792349,90,,90,
1792363,105,,105,
1792523,105,,105,
1792625,110,,110,
1792713,86,,86,
1793297,108,,108,
1793433,84,,84,
1793451,98,,98,
1793604,108,,108,
1794215,102,,102,
1794255,103,,103,
1794772,116,,116,
1795157,90,,90,
1795427,94,,94,
1795631,85,,85,
1795698,110,,110,
1795997,88,,88,
1796704,106,,106,
1796731,104,,104,
1796731,105,,105,
1797310,106,,106,
1797365,165,(international version),165,international version
1797365,137,(1970),137,1970
1797365,175,,175,
1797386,95,,95,
1797386,92,(edited version),92,edited version
1798275,124,,124,
1798372,80,,80,
1798632,98,,98,
1799339,90,,90,
1799603,51,,51,
1801311,100,,100,
1801311,101,,101,
1801574,91,,91,
1801936,101,,101,
1802055,99,,99,
1802058,93,,93,
1802287,93,,93,
1802287, 85,(heavily cut),85,heavily cut
1802287,86,(heavily cut),86,heavily cut
1802676,105,,105,
1802677,128,,128,
1803115,117,,117,
1803357,100,,100,
1803905,87,,87,
1803921,100,,100,
1804232,144,,144,
1804427,152,,152,
1804484,91,,91,
1804630,98,,98,
1804779,103,,103,
1804898,78,,78,
1804898,91,(original version),91,original version
1804898,84,(director's cut),84,director's cut
1804923,83,,83,
1804924,83,,83,
1804925,85,,85,
1804947,100,,100,
1805163,89,,89,
1805225,98,,98,
1805246,109,,109,
1805273,121,,121,
1805799,102,,102,
1805799, 82,(cut version),82,cut version
1806151,178,,178,
1806217,100,,100,
1806794,97,,97,
1806845,118,,118,
1806896,108,,108,
1806914,94,,94,
1806940,2,,2,
1807303,119,,119,
1807444,75,,75,
1807562,110,,110,
1807604,97,,97,
1807863,110,,110,
1808298,87,,87,
1808524,113,,113,
1808524,113,,113,
1808813,91,,91,
1809047,115,,115,
1809149,113,,113,
1809149,115,,115,
1809149,110,,110,
1809149,108,,108,
1809149,108,,108,
1809197,112,,112,
1809431,105,,105,
1809724,122,,122,
1809864,91,,91,
1809984,107,,107,
1809998,96,,96,
1809998,98,,98,
1810092,92,,92,
1810092,95,,95,
1810470,86,,86,
1810470,106,(theatrical version) (2012),106,theatrical version 2012
1811382,104,,104,
1811626,113,,113,
1811722,124,,124,
1812202,75,,75,
1812202,90,(Encore print),90,Encore print
1812255,94,,94,
1812339,87,,87,
1812450,102,,102,
1812490,113,,113,
1813663,83,,83,
1815267,84,,84,
1815901,87,,87,
1815914,84,,84,
1815915,90,,90,
1816153,119,,119,
1816171,92,,92,
1816175,92,,92,
1816176,92,,92,
1816182,90,,90,
1816238,101,,101,
1816379,102,,102,
1816691,130,,130,
1816742,99,,99,
1817535,90,,90,
1817898,77,,77,
1817898,95,(original release),95,original release
1818342,110,,110,
1818562,97,,97,
1819155,96,,96,
1819411,102,(international version),102,international version
1819411, 98,,98,
1819870,207,,207,
1819870,100,(second release),100,second release
1819870,108,(first release),108,first release
1819870,204,(1966 re-issue),204,1966 re-issue
1820147,97,,97,
1820288,123,,123,
1820400,74,,74,
1821008,103,,103,
1821229,95,,95,
1821599,119,,119,
1821619,106,,106,
1821739,111,,111,
1821769,87,,87,
1821807,116,,116,
1821852,114,,114,
1821917,97,,97,
1822415,108,,108,
1822415,108,,108,
1822607,98,,98,
1822639,84,,84,
1822675,85,,85,
1822675,96,,96,
1822675,76,(TV version),76,TV version
1823008,104,,104,
1823101,107,,107,
1823223,141,,141,
1823361,92,,92,
1823361,87,(TV version),87,TV version
1823361,102,(extended version),102,extended version
1823486,112,,112,
1823740,128,,128,
1823740,129,,129,
1823753,96,,96,
1823865,132,(special edition),132,special edition
1823865,135,(original version),135,original version
1823865,137,(director's cut),137,director's cut
1824605,94,,94,
1824615,94,,94,
1824615,97,,97,
1824623,97,,97,
1824685,90,,90,
1824923,128,,128,
1824929,70,,70,
1824929,75,,75,
1825343,117,,117,
1825348,116,,116,
1825348,115,,115,
1826286,92,,92,
1826962,79,,79,
1827008,121,,121,
1827008,133,,133,
1827008,140,(director's cut),140,director's cut
1827432,113,,113,
1827432,104,(video version),104,video version
1827800,133,(FMC Library Print),133,FMC Library Print
1827800,138,,138,
1828055,126,,126,
1828055,115,,115,
1828413,110,,110,
1828447,127,,127,
1828716,88,,88,
1829030,77,,77,
1829152,98,,98,
1829152,108,,108,
1829152,106,,106,
1829152,83,,83,
1829152,108,(unrated version),108,unrated version
1829153,106,(video),106,video
1829153,101,,101,
1829153,107,,107,
1829283,105,,105,
1829283,113,(R Rated NTSC Version),113,R Rated NTSC Version
1829882,115,,115,
1829882,123,(extended version),123,extended version
1830096,129,,129,
1830116,85,,85,
1830497,83,,83,
1830531,90,,90,
1830564,88,,88,
1831084,109,,109,
1831363,88,,88,
1831593,135,,135,
1831790,150,,150,
1831904,112,,112,
1832668,93,,93,
1832720,118,,118,
1832832,126,,126,
1832852,98,,98,
1832872,91,,91,
1832956,104,,104,
1832956,120,(extended director's cut),120,extended director's cut
1832956,116,(director's cut),116,director's cut
1833143,93,,93,
1833175,123,,123,
1833995,115,,115,
1834154,80,,80,
1834266,102,,102,
1834266,103,,103,
1834266,100,,100,
1834423,77,,77,
1834632,124,,124,
1835117,105,,105,
1835175,118,,118,
1835175,107,(dvd release) (IFC library print),107,dvd release IFC library print
1835296,128,,128,
1835442,117,,117,
1835618,108,,108,
1836147,100,,100,
1836147,107,(director's cut),107,director's cut
1836375,132,,132,
1836516,100,,100,
1836516,90,(R-rated version),90,R-rated version
1836984,111,,111,
1837319,76,,76,
1837323,5,,5,
1837340,79,,79,
1837467,120,,120,
1837467,130,(approx.) (Original Workprint),130,approx. Original Workprint
1837469,92,,92,
1837469,85,(UK video version),85,UK video version
1837764,100,,100,
1837764,98,,98,
1837962,104,,104,
1837991,105,,105,
1837991,100,,100,
1838160,116,,116,
1838160,123,(extended version),123,extended version
1838360,107,,107,
1838411,127,,127,
1838411,123,(DVD version),123,DVD version
1838481,93,(DVD),93,DVD
1838481,97,,97,
1838568,94,,94,
1838619,115,,115,
1838773,132,,132,
1838773,119,,119,
1838850,86,,86,
1839137,94,,94,
1839137,94,,94,
1839137,91,,91,
1839311,97,,97,
1839442,119,,119,
1839754,106,,106,
1840524,90,,90,
1840882,93,,93,
1841896,88,,88,
1842301,74,,74,
1842580,109,,109,
1842584,124,,124,
1843039,137,,137,
1843756,106,,106,
1843757,104,,104,
1844312,125,,125,
1844854,80,,80,
1844997,93,,93,
1845075,138,,138,
1846390,107,,107,
1846990,126,,126,
1847035,98,,98,
1847048,140,,140,
1847051,97,,97,
1847080,()236,(DVD special edition),236,DVD special edition
1847080,181,,181,
1847080,224,(extended version),224,extended version
1847080,236,(director's cut),236,director's cut
1847235,95,,95,
1847595,111,,111,
1847692,108,(Unrated Director's Cut),108,Unrated Director's Cut
1847699,95,,95,
1847722,119,,119,
1847739,99,,99,
1848628,108,,108,
1848859,93,,93,
1849147,100,,100,
1849147,111,(director's cut),111,director's cut
1849156,94,,94,
1849156,90,,90,
1850182,149,,149,
1850182,209,(director's cut),209,director's cut
1851750,86,,86,
1851871,115,,115,
1851871,115,,115,
1851871,116,,116,
1852854,105,,105,
1852976,71,,71,
1853052,112,,112,
1853104,110,,110,
1853531,93,,93,
1853531,150,(TV version) (3 parts),150,TV version 3 parts
1854045,114,,114,
1854142,94,,94,
1854166,107,,107,
1854233,102,,102,
1854918,106,,106,
1854918,98,,98,
1854918,105,,105,
1854918,102,,102,
1856252,107,,107,
1856325,96,,96,
1856325,83,(TV version),83,TV version
1856595,121,,121,
1856595,120,,120,
1856595,115,,115,
1856608,122,,122,
1856613,96,,96,
1856672,88,,88,
1856727,128,,128,
1856731,119,,119,
1856763,116,,116,
1856939,91,,91,
1857326,91,,91,
1857496,93,,93,
1857769,112,,112,
1857796,82,,82,
1858038,104,,104,
1858357,93,,93,
1858361,92,,92,
1858362,99,,99,
1858362,91,(cut version),91,cut version
1858362,94,,94,
1858363,88,,88,
1858363,95,(uncut version),95,uncut version
1858364,95,,95,
1858396,103,,103,
1858463,109,,109,
1859092,106,,106,
1859092,93,(TV version),93,TV version
1859351,96,,96,
1859542,105,,105,
1859617,120,,120,
1859753,106,,106,
1859753,97,,97,
1860181,112,,112,
1860327,92,,92,
1860806,99,,99,
1861004,110,,110,
1861112,105,,105,
1861202,102,(uncut),102,uncut
1861202,99,(edited version),99,edited version
1861514,115,,115,
1862412,80,,80,
1864055,128,,128,
1864846,130,,130,
1866000,118,,118,
1866391,93,,93,
1866400,108,(cut),108,cut
1866400,124,,124,
1866400,106,,106,
1866400,107,(TCM print),107,TCM print
1866400,94,(English version),94,English version
1867752,86,,86,
1868310,105,,105,
1868312,90,,90,
1868452,97,,97,
1868890,104,,104,
1869010,100,,100,
1869092,104,,104,
1869304,92,,92,
1869461,102,,102,
1869771,96,,96,
1870038,104,,104,
1870132,106,,106,
1870151,95,,95,
1870221,88,,88,
1870751,77,,77,
1870798,102,,102,
1871727,107,,107,
1871833,105,,105,
1871833,88,,88,
1872091,91,,91,
1872587,94,,94,
1872662,101,,101,
1872662,101,,101,
1872662,101,,101,
1872662,105,,105,
1873263,142,,142,
1873263,162,(director's cut),162,director's cut
1874279,131,,131,
1874284,124,,124,
1874295,131,,131,
1875013,180,,180,
1875764,108,,108,
1875962,95,,95,
1875962,95,(Mar del Plata Film Festival),95,Mar del Plata Film Festival
1876090,55,,55,
1876090,81,,81,
1876090,130,,130,
1878227,93,,93,
1878537,97,,97,
1878537,92,,92,
1878658,1,,1,
1878669,88,,88,
1878669,82,,82,
1879298,110,,110,
1879358,109,,109,
1879599,82,,82,
1879793,111,,111,
1879793,124,(extended version),124,extended version
1879793,96,,96,
1879793,141,,141,
1879793,104,(R-rated version),104,R-rated version
1880202,100,,100,
1880648,82,,82,
1880846,128,,128,
1881802,84,,84,
1881868,117,,117,
1881868,123,,123,
1883153,120,,120,
1883527,145,(FMC Library Print),145,FMC Library Print
1883527,152,,152,
1883528,85,,85,
1883660,197,,197,
1883660,192,(1999 re-release),192,1999 re-release
1883660,193,,193,
1883660,200,(1992 re-release),200,1992 re-release
1883995,125,,125,
1883995,131,(1975),131,1975
1884087,91,,91,
1884286,130,,130,
1885039,132,,132,
1885177,136,(DVD version),136,DVD version
1885177,270,(extended version),270,extended version
1885734,97,,97,
1886005,89,,89,
1886005,94,(2005 unrated),94,2005 unrated
1886830,90,,90,
1886830,94,,94,
1886830,94,,94,
1887066,127,,127,
1887066,147,(extended cut),147,extended cut
1888102,108,,108,
1888780,87,,87,
1888811,107,,107,
1888811,110,,110,
1888811,90,(Ontario),90,Ontario
1888823,105,,105,
1889009,93,,93,
1889253,77,,77,
1889491,92,,92,
1889579,107,,107,
1889621,112,,112,
1889788,91,,91,
1889850,106,(theatrical version) (2012),106,theatrical version 2012
1889850,80,,80,
1889850,74,,74,
1890357,110,,110,
1890437,95,,95,
1890515,75,(corrected release length),75,corrected release length
1890516,82,,82,
1890522,128,,128,
1890588,88,,88,
1890829,103,,103,
1891484,57,,57,
1891605,90,,90,
1891649,97,,97,
1891803,92,,92,
1892010,99,,99,
1892794,91,,91,
1892991,99,,99,
1893207,103,,103,
1893210,97,,97,
1893245,101,,101,
1893343,96,,96,
1893483,102,,102,
1893657,90,,90,
1894338,68,,68,
1894453,77,,77,
1894619,129,,129,
1894619,144,(roadshow version),144,roadshow version
1894619, 138,,138,
1894753,112,,112,
1895102,107,,107,
1895102,113,(unrated version),113,unrated version
1895159,64,,64,
1895286,137,,137,
1895286,177,(extended cut),177,extended cut
1895286,314,(Extended Edition),314,Extended Edition
1895286,190,(special edition),190,special edition
1895298,100,,100,
1895298,93,(Redux version),93,Redux version
1895425,88,,88,
1895463,96,,96,
1895463,96,,96,
1895463,96,,96,
1895463, 97,,97,
1896345,111,,111,
1896980,117,,117,
1897539,132,,132,
1897539,128,,128,
1897539,118,,118,
1897539,128,,128,
1897778,115,,115,
1897778,120,(extended version),120,extended version
1898323,83,,83,
1898372,123,,123,
1898372,121,(Ontario),121,Ontario
1898372,160,(TV version),160,TV version
1898449,96,,96,
1898539,115,,115,
1898779,95,,95,
1898814,95,,95,
1898834,80,,80,
1898834,89,(Hypercube restored version),89,Hypercube restored version
1898971,91,,91,
1898971,87,,87,
1899474,102,,102,
1899694,94,,94,
1899730,127,,127,
